SYMBOL,LOTSIZE
BANKNIFTY ,25
NIFTY     ,50
FINNIFTY  ,40
Symbol    ,21-Sep
ACC       ,500
ADANIPORTS,1250
AARTIIND  ,850
ALKEM     ,200
ASHOKLEY  ,4500
ASIANPAINT,300
AXISBANK  ,1200
ABFRL     ,2600
AMBUJACEM ,3000
APOLLOHOSP,250
BANDHANBNK,1800
ADANIENT  ,1000
BHEL      ,10500
AMARAJABAT,1000
DABUR     ,1250
AUBANK    ,500
AUROPHARMA,650
DEEPAKNTR ,500
BAJAJ-AUTO,250
BAJAJFINSV,75
BAJFINANCE,125
BANKBARODA,11700
BATAINDIA ,550
GODREJPROP,650
BEL       ,3800
BHARTIARTL,1851
BPCL      ,1800
HINDPETRO ,2700
INDIGO    ,500
CANBK     ,5400
IOC       ,6500
CIPLA     ,650
COALINDIA ,4200
COLPAL    ,350
JUBLFOOD  ,250
COROMANDEL,625
LTI       ,150
CUB       ,3100
MARICO    ,2000
CUMMINSIND,600
MINDTREE  ,400
DLF       ,3300
NATIONALUM,17000
ESCORTS   ,550
FEDERALBNK,10000
GLENMARK  ,1150
POWERGRID ,5333
GRANULES  ,1550
GUJGASLTD ,1250
HCLTECH   ,700
HDFCAMC   ,200
HDFCBANK  ,550
HDFCLIFE  ,1100
HEROMOTOCO,300
HINDALCO  ,2150
HINDUNILVR,300
IBULHSGFIN,3100
SRF       ,125
ICICIBANK ,1375
ICICIGI   ,425
ICICIPRULI,1500
IDEA      ,70000
SUNPHARMA ,1400
IDFCFIRSTB,9500
INDHOTEL  ,3900
INDUSINDBK,900
INFY      ,600
IRCTC     ,325
ITC       ,3200
JINDALSTEL,2500
JSWSTEEL  ,1350
LALPATHLAB,250
SUNTV     ,1500
LICHSGFIN ,2000
LT        ,575
LTTS      ,200
LUPIN     ,850
M&MFIN    ,4000
MANAPPURAM,6000
TCS       ,300
MARUTI    ,100
MCDOWELL-N,1250
TECHM     ,600
METROPOLIS,200
MFSL      ,650
VEDL      ,3100
MGL       ,600
APLLTD    ,550
MRF       ,10
MUTHOOTFIN,750
BALKRISIND,400
NAUKRI    ,125
ASTRAL    ,275
NAVINFLUOR,225
NESTLEIND ,50
NMDC      ,6700
NTPC      ,5700
ONGC      ,7700
PFIZER    ,125
PIDILITIND,500
PIIND     ,250
RBLBANK   ,2900
RELIANCE  ,250
SAIL      ,9500
SBILIFE   ,750
SBIN      ,1500
TATACHEM  ,1000
TATAMOTORS,2850
TATASTEEL ,850
TITAN     ,375
TVSMOTOR  ,1400
DIVISLAB  ,200
ULTRACEMCO,100
ZEEL      ,3000
APOLLOTYRE,2500
BERGEPAINT,1100
BIOCON    ,2300
BOSCHLTD  ,50
BRITANNIA ,200
CADILAHC  ,2200
GRASIM    ,475
CHOLAFIN  ,1250
DRREDDY   ,125
EICHERMOT ,350
GMRINFRA  ,22500
PEL       ,275
PFC       ,6200
IGL       ,1375
RECLTD    ,6000
NAM-INDIA ,1600
SHREECEM  ,25
STAR      ,675
TATAPOWER ,6750
PNB       ,16000
TRENT     ,725
SRTRANSFIN,400
TATACONSUM,1350
TORNTPHARM,250
UBL       ,700
VOLTAS    ,500
BHARATFORG,1500
CONCOR    ,1563
GODREJCP  ,1000
HAVELLS   ,500
INDUSTOWER,2800
KOTAKBANK ,400
L&TFH     ,8924
M&M       ,700
EXIDEIND  ,3600
MPHASIS   ,325
PETRONET  ,3000
PVR       ,407
SIEMENS   ,275
WIPRO     ,1600
COFORGE   ,200
GAIL      ,6100
MOTHERSUMI,3500
PAGEIND   ,30
RAMCOCEM  ,850
TORNTPOWER,1500
UPL       ,1300
HDFC      ,300
CANFINHOME,975
DIXON     ,125
HAL       ,475
IEX       ,1250
INDIAMART ,75
IPCALAB   ,225
MCX       ,350
OFSS      ,125
POLYCAB   ,300
SYNGENE   ,850
